CODIGO_PERSONA|PATERNO_MATERNO|NOMBRE_DOCENTE|MARCACION_BIOMETRICO|SENTIDO_RELOJ
88000001|Quispe Huaman|Ana Carmen|2026-06-23 07:54:30|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-23 13:07:34|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-24 07:55:31|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-24 13:09:35|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-25 07:56:32|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-25 13:01:36|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-26 07:57:33|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-26 13:03:37|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-29 07:45:36|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-29 13:09:40|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-30 07:46:37|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-30 13:01:41|salida
88000002|Huaman Flores|Luis Jose|2026-06-01 07:48:15|entrada
88000002|Huaman Flores|Luis Jose|2026-06-01 13:04:23|salida
88000002|Huaman Flores|Luis Jose|2026-06-02 07:49:16|entrada
88000002|Huaman Flores|Luis Jose|2026-06-02 13:06:24|salida
88000002|Huaman Flores|Luis Jose|2026-06-03 07:50:17|entrada
88000002|Huaman Flores|Luis Jose|2026-06-03 13:08:25|salida
88000002|Huaman Flores|Luis Jose|2026-06-04 07:51:18|entrada
88000002|Huaman Flores|Luis Jose|2026-06-04 13:00:26|salida
88000002|Huaman Flores|Luis Jose|2026-06-05 07:52:19|entrada
88000002|Huaman Flores|Luis Jose|2026-06-05 13:02:27|salida
88000002|Huaman Flores|Luis Jose|2026-06-08 07:55:22|entrada
88000002|Huaman Flores|Luis Jose|2026-06-08 13:08:30|salida
88000002|Huaman Flores|Luis Jose|2026-06-09 07:56:23|entrada
88000002|Huaman Flores|Luis Jose|2026-06-09 13:00:31|salida
88000002|Huaman Flores|Luis Jose|2026-06-10 07:57:24|entrada
88000002|Huaman Flores|Luis Jose|2026-06-10 13:02:32|salida
88000002|Huaman Flores|Luis Jose|2026-06-11 07:58:25|entrada
88000002|Huaman Flores|Luis Jose|2026-06-11 13:04:33|salida
88000002|Huaman Flores|Luis Jose|2026-06-12 07:59:26|entrada
88000002|Huaman Flores|Luis Jose|2026-06-12 13:06:34|salida
88000002|Huaman Flores|Luis Jose|2026-06-15 07:47:29|entrada
88000002|Huaman Flores|Luis Jose|2026-06-15 13:02:37|salida
88000002|Huaman Flores|Luis Jose|2026-06-16 07:48:30|entrada
88000002|Huaman Flores|Luis Jose|2026-06-16 13:04:38|salida
88000002|Huaman Flores|Luis Jose|2026-06-17 07:49:31|entrada
88000002|Huaman Flores|Luis Jose|2026-06-17 13:06:39|salida
88000002|Huaman Flores|Luis Jose|2026-06-18 07:50:32|entrada
88000002|Huaman Flores|Luis Jose|2026-06-18 13:08:40|salida
88000002|Huaman Flores|Luis Jose|2026-06-19 07:51:33|entrada
88000002|Huaman Flores|Luis Jose|2026-06-19 13:00:41|salida
88000002|Huaman Flores|Luis Jose|2026-06-22 07:54:36|entrada
88000002|Huaman Flores|Luis Jose|2026-06-22 13:06:44|salida
88000002|Huaman Flores|Luis Jose|2026-06-23 07:55:37|entrada
88000002|Huaman Flores|Luis Jose|2026-06-23 13:08:45|salida
88000002|Huaman Flores|Luis Jose|2026-06-24 07:56:38|entrada
88000002|Huaman Flores|Luis Jose|2026-06-24 13:00:46|salida
88000002|Huaman Flores|Luis Jose|2026-06-25 07:57:39|entrada
88000002|Huaman Flores|Luis Jose|2026-06-25 13:02:47|salida
88000002|Huaman Flores|Luis Jose|2026-06-26 07:58:40|entrada
88000002|Huaman Flores|Luis Jose|2026-06-26 13:04:48|salida
88000002|Huaman Flores|Luis Jose|2026-06-29 07:46:43|entrada
88000002|Huaman Flores|Luis Jose|2026-06-29 13:00:51|salida
88000002|Huaman Flores|Luis Jose|2026-06-30 07:47:44|entrada
88000002|Huaman Flores|Luis Jose|2026-06-30 13:02:52|salida
88000003|Flores Torres|Maria Teresa|2026-06-01 07:49:22|entrada
88000003|Flores Torres|Maria Teresa|2026-06-01 13:05:34|salida
88000003|Flores Torres|Maria Teresa|2026-06-02 07:50:23|entrada
88000003|Flores Torres|Maria Teresa|2026-06-02 13:07:35|salida
88000003|Flores Torres|Maria Teresa|2026-06-03 07:51:24|entrada
88000003|Flores Torres|Maria Teresa|2026-06-03 13:09:36|salida
88000003|Flores Torres|Maria Teresa|2026-06-04 07:52:25|entrada
88000003|Flores Torres|Maria Teresa|2026-06-04 13:01:37|salida
88000003|Flores Torres|Maria Teresa|2026-06-05 07:53:26|entrada
88000003|Flores Torres|Maria Teresa|2026-06-05 13:03:38|salida
88000003|Flores Torres|Maria Teresa|2026-06-08 07:56:29|entrada
88000003|Flores Torres|Maria Teresa|2026-06-08 13:09:41|salida
88000003|Flores Torres|Maria Teresa|2026-06-09 07:57:30|entrada
88000003|Flores Torres|Maria Teresa|2026-06-09 13:01:42|salida
88000003|Flores Torres|Maria Teresa|2026-06-10 07:58:31|entrada
88000003|Flores Torres|Maria Teresa|2026-06-10 13:03:43|salida
88000003|Flores Torres|Maria Teresa|2026-06-11 07:59:32|entrada
88000003|Flores Torres|Maria Teresa|2026-06-11 13:05:44|salida
88000003|Flores Torres|Maria Teresa|2026-06-12 07:45:33|entrada
88000003|Flores Torres|Maria Teresa|2026-06-12 13:07:45|salida
88000003|Flores Torres|Maria Teresa|2026-06-15 07:48:36|entrada
88000003|Flores Torres|Maria Teresa|2026-06-15 13:03:48|salida
88000003|Flores Torres|Maria Teresa|2026-06-16 07:49:37|entrada
88000003|Flores Torres|Maria Teresa|2026-06-16 13:05:49|salida
88000003|Flores Torres|Maria Teresa|2026-06-17 07:50:38|entrada
88000003|Flores Torres|Maria Teresa|2026-06-17 13:07:50|salida
88000003|Flores Torres|Maria Teresa|2026-06-18 07:51:39|entrada
88000003|Flores Torres|Maria Teresa|2026-06-18 13:09:51|salida
88000003|Flores Torres|Maria Teresa|2026-06-19 07:52:40|entrada
88000003|Flores Torres|Maria Teresa|2026-06-19 13:01:52|salida
88000003|Flores Torres|Maria Teresa|2026-06-22 07:55:43|entrada
88000003|Flores Torres|Maria Teresa|2026-06-22 13:07:55|salida
88000003|Flores Torres|Maria Teresa|2026-06-23 07:56:44|entrada
88000003|Flores Torres|Maria Teresa|2026-06-23 13:09:56|salida
88000003|Flores Torres|Maria Teresa|2026-06-24 07:57:45|entrada
88000003|Flores Torres|Maria Teresa|2026-06-24 13:01:57|salida
88000003|Flores Torres|Maria Teresa|2026-06-25 07:58:46|entrada
88000003|Flores Torres|Maria Teresa|2026-06-25 13:03:58|salida
88000003|Flores Torres|Maria Teresa|2026-06-26 07:59:47|entrada
88000003|Flores Torres|Maria Teresa|2026-06-26 13:05:59|salida
88000003|Flores Torres|Maria Teresa|2026-06-29 07:47:50|entrada
88000003|Flores Torres|Maria Teresa|2026-06-29 13:01:02|salida
88000003|Flores Torres|Maria Teresa|2026-06-30 07:48:51|entrada
88000003|Flores Torres|Maria Teresa|2026-06-30 13:03:03|salida
88000004|Mamani Salas|Carlos Raul|2026-06-01 07:50:29|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-01 13:06:45|salida
88000004|Mamani Salas|Carlos Raul|2026-06-02 07:51:30|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-02 13:08:46|salida
88000004|Mamani Salas|Carlos Raul|2026-06-03 07:52:31|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-03 13:00:47|salida
88000004|Mamani Salas|Carlos Raul|2026-06-04 07:53:32|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-04 13:02:48|salida
88000004|Mamani Salas|Carlos Raul|2026-06-05 07:54:33|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-05 13:04:49|salida
88000004|Mamani Salas|Carlos Raul|2026-06-08 07:57:36|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-08 13:00:52|salida
88000004|Mamani Salas|Carlos Raul|2026-06-09 07:58:37|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-09 13:02:53|salida
88000004|Mamani Salas|Carlos Raul|2026-06-10 07:59:38|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-10 13:04:54|salida
88000004|Mamani Salas|Carlos Raul|2026-06-11 07:45:39|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-11 13:06:55|salida
88000004|Mamani Salas|Carlos Raul|2026-06-12 07:46:40|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-12 13:08:56|salida
88000004|Mamani Salas|Carlos Raul|2026-06-15 07:49:43|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-15 13:04:59|salida
88000004|Mamani Salas|Carlos Raul|2026-06-16 07:50:44|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-16 13:06:00|salida
88000004|Mamani Salas|Carlos Raul|2026-06-17 07:51:45|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-17 13:08:01|salida
88000004|Mamani Salas|Carlos Raul|2026-06-18 07:52:46|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-18 13:00:02|salida
88000004|Mamani Salas|Carlos Raul|2026-06-19 07:53:47|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-19 13:02:03|salida
88000004|Mamani Salas|Carlos Raul|2026-06-22 07:56:50|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-22 13:08:06|salida
88000004|Mamani Salas|Carlos Raul|2026-06-23 07:57:51|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-23 13:00:07|salida
88000004|Mamani Salas|Carlos Raul|2026-06-24 07:58:52|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-24 13:02:08|salida
88000004|Mamani Salas|Carlos Raul|2026-06-25 07:59:53|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-25 13:04:09|salida
88000004|Mamani Salas|Carlos Raul|2026-06-26 07:45:54|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-26 13:06:10|salida
88000004|Mamani Salas|Carlos Raul|2026-06-29 07:48:57|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-29 13:02:13|salida
88000004|Mamani Salas|Carlos Raul|2026-06-30 07:49:58|entrada
88000004|Mamani Salas|Carlos Raul|2026-06-30 13:04:14|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-01 07:51:36|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-01 13:07:56|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-02 07:52:37|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-02 13:09:57|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-03 07:53:38|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-03 13:01:58|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-04 07:54:39|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-04 13:03:59|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-05 07:55:40|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-05 13:05:00|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-08 07:58:43|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-08 13:01:03|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-09 07:59:44|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-09 13:03:04|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-10 07:45:45|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-10 13:05:05|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-11 07:46:46|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-11 13:07:06|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-12 07:47:47|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-12 13:09:07|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-15 07:50:50|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-15 13:05:10|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-16 07:51:51|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-16 13:07:11|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-17 07:52:52|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-17 13:09:12|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-18 07:53:53|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-18 13:01:13|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-19 07:54:54|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-19 13:03:14|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-22 07:57:57|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-22 13:09:17|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-23 07:58:58|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-23 13:01:18|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-24 07:59:59|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-24 13:03:19|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-25 07:45:00|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-25 13:05:20|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-26 07:46:01|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-26 13:07:21|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-29 07:49:04|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-29 13:03:24|salida
88000005|Condori Paredes|Rosa Patricia|2026-06-30 07:50:05|entrada
88000005|Condori Paredes|Rosa Patricia|2026-06-30 13:05:25|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-01 07:52:43|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-01 13:08:07|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-02 07:53:44|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-02 13:00:08|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-03 07:54:45|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-03 13:02:09|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-04 07:55:46|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-04 13:04:10|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-05 07:56:47|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-05 13:06:11|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-08 07:59:50|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-08 13:02:14|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-09 07:45:51|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-09 13:04:15|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-10 07:46:52|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-10 13:06:16|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-11 07:47:53|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-11 13:08:17|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-12 07:48:54|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-12 13:00:18|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-15 07:51:57|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-15 13:06:21|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-16 07:52:58|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-16 13:08:22|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-17 07:53:59|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-17 13:00:23|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-18 07:54:00|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-18 13:02:24|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-19 07:55:01|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-19 13:04:25|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-22 07:58:04|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-22 13:00:28|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-23 07:59:05|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-23 13:02:29|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-24 07:45:06|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-24 13:04:30|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-25 07:46:07|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-25 13:06:31|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-26 07:47:08|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-26 13:08:32|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-29 07:50:11|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-29 13:04:35|salida
88000006|Rojas Chavez|Jorge Hugo|2026-06-30 07:51:12|entrada
88000006|Rojas Chavez|Jorge Hugo|2026-06-30 13:06:36|salida
88000007|Vargas Ramos|Elena Diana|2026-06-01 07:53:50|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-01 13:09:18|salida
88000007|Vargas Ramos|Elena Diana|2026-06-02 07:54:51|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-02 13:01:19|salida
88000007|Vargas Ramos|Elena Diana|2026-06-03 07:55:52|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-03 13:03:20|salida
88000007|Vargas Ramos|Elena Diana|2026-06-04 07:56:53|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-04 13:05:21|salida
88000007|Vargas Ramos|Elena Diana|2026-06-05 07:57:54|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-05 13:07:22|salida
88000007|Vargas Ramos|Elena Diana|2026-06-08 07:45:57|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-08 13:03:25|salida
88000007|Vargas Ramos|Elena Diana|2026-06-09 07:46:58|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-09 13:05:26|salida
88000007|Vargas Ramos|Elena Diana|2026-06-10 07:47:59|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-10 13:07:27|salida
88000007|Vargas Ramos|Elena Diana|2026-06-11 07:48:00|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-11 13:09:28|salida
88000007|Vargas Ramos|Elena Diana|2026-06-12 07:49:01|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-12 13:01:29|salida
88000007|Vargas Ramos|Elena Diana|2026-06-15 07:52:04|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-15 13:07:32|salida
88000007|Vargas Ramos|Elena Diana|2026-06-16 07:53:05|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-16 13:09:33|salida
88000007|Vargas Ramos|Elena Diana|2026-06-17 07:54:06|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-17 13:01:34|salida
88000007|Vargas Ramos|Elena Diana|2026-06-18 07:55:07|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-18 13:03:35|salida
88000007|Vargas Ramos|Elena Diana|2026-06-19 07:56:08|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-19 13:05:36|salida
88000007|Vargas Ramos|Elena Diana|2026-06-22 07:59:11|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-22 13:01:39|salida
88000007|Vargas Ramos|Elena Diana|2026-06-23 07:45:12|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-23 13:03:40|salida
88000007|Vargas Ramos|Elena Diana|2026-06-24 07:46:13|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-24 13:05:41|salida
88000007|Vargas Ramos|Elena Diana|2026-06-25 07:47:14|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-25 13:07:42|salida
88000007|Vargas Ramos|Elena Diana|2026-06-26 07:48:15|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-26 13:09:43|salida
88000007|Vargas Ramos|Elena Diana|2026-06-29 07:51:18|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-29 13:05:46|salida
88000007|Vargas Ramos|Elena Diana|2026-06-30 07:52:19|entrada
88000007|Vargas Ramos|Elena Diana|2026-06-30 13:07:47|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-01 07:54:57|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-01 13:00:29|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-02 07:55:58|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-02 13:02:30|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-03 07:56:59|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-03 13:04:31|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-04 07:57:00|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-04 13:06:32|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-05 07:58:01|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-05 13:08:33|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-08 07:46:04|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-08 13:04:36|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-09 07:47:05|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-09 13:06:37|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-10 07:48:06|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-10 13:08:38|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-11 07:49:07|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-11 13:00:39|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-12 07:50:08|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-12 13:02:40|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-15 07:53:11|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-15 13:08:43|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-16 07:54:12|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-16 13:00:44|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-17 07:55:13|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-17 13:02:45|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-18 07:56:14|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-18 13:04:46|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-19 07:57:15|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-19 13:06:47|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-22 07:45:18|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-22 13:02:50|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-23 07:46:19|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-23 13:04:51|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-24 07:47:20|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-24 13:06:52|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-25 07:48:21|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-25 13:08:53|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-26 07:49:22|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-26 13:00:54|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-29 07:52:25|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-29 13:06:57|salida
88000008|Torres Gutierrez|Miguel Mario|2026-06-30 07:53:26|entrada
88000008|Torres Gutierrez|Miguel Mario|2026-06-30 13:08:58|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-01 07:55:04|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-01 13:01:40|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-02 07:56:05|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-02 13:03:41|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-03 07:57:06|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-03 13:05:42|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-04 07:58:07|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-04 13:07:43|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-05 07:59:08|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-05 13:09:44|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-08 07:47:11|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-08 13:05:47|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-09 07:48:12|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-09 13:07:48|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-10 07:49:13|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-10 13:09:49|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-11 07:50:14|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-11 13:01:50|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-12 07:51:15|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-12 13:03:51|salida
88000009|Salas Castillo|Lucia Sofia|2026-06-15 07:54:18|entrada
88000009|Salas Castillo|Lucia Sofia|2026-06-15 13:09:54|salida
